city;url;city2;city3;country
Караганда;karaganda;Караганды;в Караганде;Kazahstan
Актобе;aktobe;Актобы;в Актобе;Kazahstan
Тараз;taraz;Тараза;в Таразе;Kazahstan
Павлодар;pavlodar;Павлодара;в Павлодара;Kazahstan
Усть-Каменогорск;usty-kamenogorsk;Усть-Каменогорска;в Усть-Каменогорске;Kazahstan
Уральск;uralysk;Уральска;в Уральске;Kazahstan
Семей;semey;Семея;в Семее;Kazahstan
Атырау;atyrau;Атырае;в Атырау;Kazahstan
Костанай;kostanay;Костаная;в Костанае;Kazahstan
Кызылорда;kyzylorda;Кызылорда;в Кызылорде;Kazahstan
Петропавловск;petropavlovsk;Петропавловска;в Петропавловске;Kazahstan
Актау;aktau;Актауа;в Актауе;Kazahstan
Темиртау;temirtau;Темиртауа;в Темиртауе;Kazahstan
Туркестан;turkestan;Туркестана;в Туркестане;Kazahstan
Талдыкорган;taldykorgan;Талдыкоргана;в Талдыкоргане;Kazahstan
Кокшетау;kokshetau;Кокшетауе;в Кокшетау;Kazahstan
Экибастуз;ekibastuz;Экибастуза;в Экибастузе;Kazahstan
Рудный;rudnyy;Рудного;в Рудном;Kazahstan
Жезказган;ghezkazgan;Жезказгана;в Жезказгане;Kazahstan
Жанаозен;ghanaozen;Жанаозена;в Жанаозене;Kazahstan
Балхаш;balhash;Балхаша;в Балхаше;Kazahstan
Кентау;kentau;Кентая;в Кентае;Kazahstan
Каскелен;kaskelen;Каскелена;в Каскелене;Kazahstan
Сатпаев;satpaev;Сатпаева;в Сатпаеве;Kazahstan
Кульсары;kulysary;Кульсара;в Кульсаре;Kazahstan
Риддер;ridder;Риддера;в Риддере;Kazahstan
Щучинск;schuchinsk;Щучинска;в Щучинске;Kazahstan
Степногорск;stepnogorsk;Степногорска;в Степногорске;Kazahstan
Капшагай;kapshagay;Капшагая;в Капшагае;Kazahstan
Арыс;arys;Арыса;в Арысе;Kazahstan
Сарань;sarany;Сарани;в Сарани;Kazahstan
Талгар;talgar;Талгара;в Талгаре;Kazahstan
Жаркент;gharkent;Жаркента;в Жаркенте;Kazahstan
Аксу;aksu;Акса;в Аксе;Kazahstan
Байконур;baykonur;Байконура;в Байконуре;Kazahstan
Аягоз;ayagoz;Аягоза;в Аягозе;Kazahstan
Шахтинск;shahtinsk;Шахтинска;в Шахтинске;Kazahstan
Шу;shu;Шу;в Шу;Kazahstan
Алтай;altay;Алтая;в Алтае;Kazahstan
Лисаковск;lisakovsk;Лисаковска;в Лисаковске;Kazahstan
Кандыагаш;kandyagash;Кандыагаша;в Кандыагаше;Kazahstan
Аксай;aksay;Аксая;в Аксае;Kazahstan
Житикара;ghitikara;Житикара;в Житикаре;Kazahstan
Аральск;aralysk;Аральска;в Аральске;Kazahstan
Есик;esik;Есика;в Есике;Kazahstan
Сарыагаш;saryagash;Сарыагаша;в Сарыагаше;Kazahstan
Текели;tekeli;Текела;в Текеле;Kazahstan
Минск;minsk;Минска;в Минске;Belarusy
Гродно;grodno;Гродна;в Гродном;Belarusy
Брест;brest;Бреста;в Бресте;Belarusy
Барановичи;baranovichi;Барановича;в Барановиче;Belarusy
Борисов;borisov;Борисова;в Борисове;Belarusy
Пинск;pinsk;Пинска;в Пинске;Belarusy
Орша;orsha;Орша;в Орше;Belarusy
Мозырь;mozyry;Мозыра;в Мозыре;Belarusy
Солигорск;soligorsk;Солигорска;в Солигорске;Belarusy
Лида;lida;Лида;в Лиде;Belarusy
Новополоцк;novopolock;Новополоцка;в Новополоцке;Belarusy
Молодечно;molodechno;Молодечна;в Молодечне;Belarusy
Полоцк;polock;Полоцка;в Полоцке;Belarusy
Жлобин;ghlobin;Жлобина;в Жлобине;Belarusy
Светлогорск;svetlogorsk;Светлогорска;в Светлогорске;Belarusy
Речица;rechica;Речица;в Речице;Belarusy
Жодино;ghodino;Жодина;в Жодине;Belarusy
Слуцк;sluck;Слуцка;в Слуцке;Belarusy
Кобрин;kobrin;Кобрина;в Кобрине;Belarusy
Алма-Ата;alma-ata;Алма-Аты;в Алма-Ате;Kazahstan
