key;value
Куннилингус;Ммм
Анальный секс;2000(при взаимной симпатии, в зависимости от размера )
Минет без резинки;1500 (при взаимной симпатии)
Куннилингус;По симпатии
Анилингус;При взаимной симпатии
Секс групповой;Есть секси подружки)тоже с шикарной грудью ВСТРЕЧИ ОТ 2ЧАСОВ
Урологический массаж;3000тр
Эротический;3000тр
Виртуальный секс;3000трСладкий Вирт)все по взрослому!видеоролики и фото (сниму по вашему сценарию)
Анилингус;При услуге куни)
Фистинг анальный;Доп
Фингеринг;Доп
Фетиш;Входит в стоимость часа)
Целуюсь;При взаимной симпатии
Секс групповой;ЖМЖ, есть красивая подружка!
Услуги семейной паре;Тариф двойной
Игрушки;Идут как доп!плюс 1000р
Анилингус;При условии что все гладко и чисто.+1000р
Госпожа;Страпон,фистинг мужчине или женщине,порка,фут фетиш и тд.
Легкая доминация;Фут фетиш,фейсситтнг,пощечины и тд,
Секс классический;Сегодня я буду твоей
Секс групповой;МЖМ,ЖМЖ,ЖЖЖ
Минет в презервативе;Люблю и не вижу ни каких преград
Минет без резинки;Сделаю тебе ооочень приятно!!!
Куннилингус;МУЛЬТИОРГАЗМ ммм...
Окончание в рот;Будет как в любимом порно )
Расслабляющий массаж;Расслаблю после бурного оргазма)
Фистинг классический;Умелые пальчики меня очень быстро возбудят!!!
Легкая доминация;Заставлю тебя вылизать мой цветочек
Анальный секс;5000 только небольшой размер
Минет без резинки;1000
Игрушки;2000
Окончание на лицо;2000
Окончание в рот;3000
Фото/видео съемка;Вы можете купить фото и видео моего прекрасного тела
Виртуальный секс;2000
Cекс по телефону;2000
Золотой дождь;3000
Легкая доминация;2000
Секс групповой;ЖМЖ, сообщайте заранее, приглашу подружку!
Минет без резинки;1500
Куннилингус;1000
Окончание на грудь;500
Эротический;1500
Стриптиз;1000
Золотой дождь;1000
Легкая доминация;1000
Секс классический;Люблю получать и доставлять удовольствие..
Секс групповой;Есть подружка ) присоединяйся к нам ) очень любим секс втроём
Секс лесбийский;Очень люблю когда подружка ласкает мой клиторок
Куннилингус;Очень люблю..с удовольствием кончу от вашего язычка...
Целуюсь;В губки и не только))
Урологический массаж;Любим с подружкой одновременно делать минет и ласкать вашу попу
Лесби откровенное;Откровенные лесбийские игры с кунилингусом и игрушками
Лесби-шоу;Никакого шоу) все по настоящему и с удовольствием))
Анилингус;Любим с подружкой делать одновременно минет анилингус
Фистинг классический;На пару пальчиков
Анальный секс;1000
Минет без резинки;19500
Фото/видео съемка;5000
Минет без резинки;500
Минет глубокий;1000
Куннилингус;500
Игрушки;500
Урологический массаж;500
Ролевые игры;По договору
Страпон;1000
Фистинг анальный;1000
Страпон;В вашу сторону
Рабыня;Лайт
Порка;В вашу сторону
Ролевые игры;Готова рассмотреть ваши варианты сценариев, при условии, что они оригинальны, интересны и мне тематически близки
Фото/видео съемка;Только с постоянными и проверенными поклонниками
Эскорт;Щедрым нижним мужчинам могу позволить сопровождать меня на различные тематические вечеринки
Страпон;Приезжать подготовленными и чистыми
Золотой дождь;1. Через лейку прямо в рот. 2. На тело при визуальной депривации. 3. Из собачьей миски.
Фистинг анальный;Приезжать подготовленными и чистыми
Бандаж;Верёвками, цепями, скотчем, любыми подручными средствами (шарфы, ремни), мумификация в пищевую пленку, патологоанатомический мешок
Порка;Различными девайсами со следами и без
Клизма;Ваше время проведенное в уборной после клизмы входит в сессию, поэтому желательно приезжать уже подготовленными
Фетиш;Ножки, нижнее белье
Трамплинг;В обуви и босиком. Тело, лицо, гениталии
Игры;Всё оговаривается до сессии
Урологический массаж;1000
Игрушки;1000
Лесби откровенное;7000 час
Лесби-шоу;5000 час
Анилингус;+1500(после знакомства)
Золотой дождь;500
Копро;6000 час
Фистинг анальный;10
Госпожа;3500 час
Легкая доминация;2500 час
Порка;1000
Фетиш;500
Трамплинг;+1000(лёгкий трамплина,+2000 сильный)
Анальный секс;5000
Минет без резинки;3000
Куннилингус;3000
Анальный секс;3000
Услуги семейной паре;2000
Целуюсь;По симпатии
Окончание на грудь;Вх в мбр
Окончание на лицо;Вх в мбр
Окончание в рот;Вх в мбр
Анилингус;2000
Секс групповой;МЖМ ЖМЖ
Минет глубокий;Буду стараться
Секс классический;Включёно
Минет в презервативе;Включёно
Минет без резинки;ГЛУБОКИЙ ПОРНО МБР
Минет глубокий;ПОРНО МИНЯ С ОКОНЧАНИЕМ
Куннилингус;Включёно
Целуюсь;При симпатии
Окончание на грудь;Включёно
Окончание на лицо;Включёно
Окончание в рот;#ИМЯ?
Боди массаж;Включёно
Расслабляющий массаж;Включёно
Эротический;Включёно
Фото/видео съемка;Продаю свое домашнее порно
Минет без резинки;Входит в стоимость
Минет без резинки;Доп
Минет глубокий;Доп
Целуюсь;Доп
Окончание на грудь;Доп
Услуги семейной паре;5000
Ролевые игры;3000
Эскорт;2000
Cекс по телефону;500
Копро;5000
Госпожа;3000
Бандаж;1000
Клизма;1000
Фетиш;1000
Трамплинг;1000
Игры;1000
Услуги семейной паре;Повысить сексуальное образование
Профессиональный;Обучена, образование медицинское
Расслабляющий массаж;Для полного погружения в релакс
Урологический массаж;Устраняет причины застоя крови в тканях простаты, избавляет от накопившихся токсинов и усиливает подачу кислорода и питательных веществ,  в результате чего улучшает мужскую потенцию
Эротический;Лингама для мужчин Йони для женщин
Cекс по телефону;Профессиональные ответы на Ваши вопросы по теме секса, любви, отношений 5 минут-100 рублей
Клизма;Гидромассаж простаты
Минет без резинки;Включен в стоимость часа!!!
Минет глубокий;Умею и люблю
Куннилингус;Люблю 69 )
Окончание на лицо;500
Стриптиз;Обсуждаемо
Анилингус;1000
Легкое подчинение;Без фанатизма
Фетиш;Обсуждаемо
Анальный секс;Оч заранее предупреждать
Виртуальный секс;3000
Анилингус;500
Анальный секс;2000
Секс групповой;2000
Секс лесбийский;Дог
Услуги семейной паре;Дог
Целуюсь;ДОГ
Окончание в рот;1500
Госпожа;1000
Услуги семейной паре;3000
Минет в презервативе;2000
Окончание на грудь;2000
Урологический массаж;2000
Эскорт;Доп
Страпон;3000
Анилингус;1000
Золотой дождь;2000
Фистинг анальный;3000
Госпожа;4000
Легкая доминация;4000
Бандаж;Доп
Порка;Доп
Услуги семейной паре;5000
Куннилингус;Если умеешь
Игрушки;Дог
Ролевые игры;Любая роль
Лесби откровенное;3000
Лесби-шоу;2000
Страпон;1500
Анилингус;3000
Золотой дождь;1500
Фистинг анальный;1000
Фистинг классический;1000
Госпожа;1500
Секс лесбийский;3000
Минет в машине;2000
