author;text
ГКар;Простите, девушка месяца с отсутствием оценок, комментариев и только выездом? Пф. :)
Smileznak;Развод
dem1234;Был кто? Реальная?
Putin18032014;Девушка, а только за куни сколько, без КС??
brunettt;Я тоже хотел бы попасть. Очаровашка
magadan;Был сегодня. Уже второй раз. Девушка реальная. Фото ее. В квартире одна. Точно не салон. Очень хорошо провел время. Умница, красавица, с отличной фигурой. В сексе все вкусно и сочно. Еще и кальяном угощает ))) Рекомендую к посещению, только не обижайте
Veterator;Девушка неописуемой красоты) крайне учтивая и очень вежливая) кто сомневается и раздумывает - оставьте свои сомнения) Она невероятна) во всех смыслах) Вы не пожалеете, в этом я вас уверяю) Ради ее горлового минета я готов возвращаться снова и снова! Только не обижайте ее!
Аноним;Был! Трахать можно часами! Сосет на отлично! Приду ещё!
europulsar;"Трахал весною, в квартире чисто, все ок.
Фигура охуенная, пися для члена изнутри приятная. Ебал ее с желанием, трахал раздвинув ноги широко. Завалился на нее и насаживал медленно но глубоко. Было приятно. Член сосет как в порнухе в горло и со слюнями, мне так не очень нравится, люблю больше когда залупу вылизывают. Долго ласкал ее клитор пока трахались минут 20 точно. Кончали раком, попросила чтобы я не мастурбировал ей, сказала я сама и кончала под ФАНЕРУ как актриса. Имитировала короче причем с таким наебаловом&#128513;, орала как кошка под окном. Короче все огонь кроме ее оргазма. Так же когда кончил вы нул член, на гондоне было немного крови, говорить ничего не стал, может драл ее сильно очень. Ну то что я ее отьебал хорошенько, чтобы не повадно было сучке это точно."
Putin18032014;"Телефон сильно исказил видео, я думаю, она намного красивее &quot;этого&quot;)))) ну не ставьте Вы эту ужасную айфоновскую обработку и эффекты больших глаз)))"
evg_goncharenko;Бывал как-то у этой красавицы. Встретила тепло (чай, тапки и не только были предложены). Внешность - выше всяких похвал. В сексе у меня было пожелание: чтобы мне сосали во время того, как я делаю коммиты на гитхаб. Пока делал коммиты кончил два раза, причём ещё до минета. Ушёл довольным, спасибо солнышко!
